"sexo";"faixa_etaria";"estado_nasc";"estado_civil";"cidade_nasc";"inst_origem";"classe_bairro"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"CNI"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"CNI"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"PUBLICA";"CNI"
"MASCULINO";"Entre 20 a 24 anos";"SP";"SOLTEIRO";"SALVADOR";"PUBLICA";"CNI"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"D"
"FEMININO";"Acima de 34 anos";"DF";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"D"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"D"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"D"
"FEMININO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"PE";"CASADO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"PE";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"PRIVADA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"LAURO DE FREITAS";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"SP";"SOLTEIRO";"LAURO DE FREITAS";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"C"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"CNI"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"LAURO DE FREITAS";"PUBLICA";"CNI"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"CNI"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"CASADO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"D"
"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"D"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"CNI"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"C"
"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"C"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"PUBLICA";"CNI"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PRIVADA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"CNI"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"C"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"NAO INFORMADO";"C"
"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"PUBLICA";"E"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"OUTRAS CIDADES";"PUBLICA";"CNI"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"PRIVADA";"CNI"
"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"LAURO DE FREITAS";"NAO INFORMADO";"CNI"
