"Bairro";"Sexo";"Data.Nascimento";"Estado.Nasc";"Estado_civil";"Cidade";"Curso_UCSAL";"ESCOLA.DE.Origem";"Classe"
"LAPINHA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"LAURO DE FREITAS";"MASCULINO";"Entre 30 a 34 anos";"BA";"CASADO";"LAURO DE FREITAS";"ADS";"PUBLICA";"CNI"
"LIBERDADE";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"LOBATO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"LUIZ ANSELMO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"LUIZ ANSELMO";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"LUIZ ANSELMO";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MACAUBAS";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"MACHADO";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"CNI"
"MASSARANDUBA";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MASSARANDUBA";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MASSARANDUBA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"MASSARANDUBA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"MATA ESCURA";"MASCULINO";"Acima de 34 anos";"BA";"CASADO";"SALVADOR";"ADS";"PUBLICA";"E"
"MATA ESCURA";"FEMININO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"NAO INFORMADO";"E"
"MATA ESCURA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"MATATU";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"MONTE SERRAT";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"MONTE SERRAT";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PRIVADA";"E"
"MONTE SERRAT";"FEMININO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"NAO INFORMADO";"E"
"MUSSURUNGA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"MUSSURUNGA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"PUBLICA";"E"
"MUSSURUNGA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"NAZARE";"MASCULINO";"Entre 15 a 19 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"NAZARE";"FEMININO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"BES";"PUBLICA";"D"
"NORDESTE DE AMARALINA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"SI";"NAO INFORMADO";"E"
"NORDESTE DE AMARALINA";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"NOVA BRASILIA";"MASCULINO";"Entre 20 a 24 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"CNI"
"NOVA SUSSUARANA";"MASCULINO";"Acima de 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PRIVADA";"E"
"NOVO HORIZONTE";"MASCULINO";"Entre 25 a 29 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"E"
"ONDINA";"MASCULINO";"Entre 30 a 34 anos";"BA";"SOLTEIRO";"SALVADOR";"ADS";"PUBLICA";"C"
